video_id,title,published_at,views,likes,comments
-QBaYnyTtLY,use this trick to get vpn for free! ğŸ˜ğŸ”¥ #short #vpn #ai,2025-07-14T08:42:18Z,16,1,0
xR-fPBQaf0E,hey watch pretty memesğŸ˜Šâ¤ï¸ #meme,2025-06-06T12:37:00Z,1005,5,0
lcj_NiaVHlU,hey come here ğŸ˜ #meme,2025-06-05T11:44:01Z,1257,7,0
zZsR2U75SZo,"meme , pretty ğŸ˜ğŸ¥° #meme",2025-06-04T14:45:15Z,0,0,0
SC6tQMUOq3U,meme that why it&#39;s #meme,2025-06-04T11:45:03Z,490,1,0
nz-p4vZKUu4,"meme, pretty ğŸ˜ #meme",2025-06-03T14:45:04Z,1077,4,0
VaZgfLZI2P4,pretty memeğŸ¥° #meme,2025-06-03T11:45:02Z,1200,4,0
f6-h5vKqHgU,pretty like. a memeğŸ˜ğŸ¥° #meme,2025-06-02T11:45:07Z,892,4,0
oXF9zteoXlw,my pretty crush meme ğŸ˜ #meme,2025-06-01T14:45:09Z,0,0,0
FuJa9x4dGJs,pretty memeeğŸ¥° #meme,2025-06-01T11:45:01Z,1048,3,0
mIcyWcXHHRM,pretty meme ğŸ¥° #meme,2025-05-31T14:46:00Z,0,0,0
MoArdYIfmYc,pretty like a memeğŸ¥°,2025-05-31T11:45:06Z,1063,6,0
y42aa9JxdQo,meme âŒ memesâœ… meme,2025-05-30T14:45:06Z,5,0,0
jq7_91wza0c,that&#39;s why. it&#39;s #meme,2025-05-30T11:45:08Z,1039,4,0
dsLSb7UI568,don&#39;t click ok dislike ğŸ˜Š #meme,2025-05-29T14:45:04Z,2,0,0
yl5rkFrGPz8,it&#39;s a meme! ğŸ«´ğŸ» #meme,2025-05-29T11:45:09Z,190,0,0
U9lEEgxceQQ,hey we&#39;re youğŸ¥¸ #meme,2025-05-28T14:44:01Z,0,0,0
Vx3djhz0TWY,come here ğŸ˜ğŸ«´ğŸ» #meme,2025-05-28T11:45:07Z,1364,5,2
SS9bwQL4HUQ,come here ğŸ˜ #meme,2025-05-27T14:45:03Z,1116,17,0
Npr1C4FsUsk,pretty like a memeğŸ˜‚ğŸ˜˜ #meme,2025-05-27T11:45:02Z,1050,6,0
nxBxls182mw,what the memeğŸ¥¸,2025-05-26T14:45:10Z,168,1,0
L4C-cVR10Fg,hey come here ğŸ˜,2025-05-26T11:45:01Z,209,0,0
aM3Q4sQxPvk,come here ğŸ˜,2025-05-25T11:45:00Z,0,0,0
vb55J5YeHW8,don&#39;t click the sound,2025-05-24T14:45:12Z,0,0,0
f-QdFAdcZe0,fannnyy! ğŸ˜‚,2025-05-24T11:45:04Z,3,0,0
